取得日時,ダムコード,日付,時刻,貯水位,区分,全流入量,全放流量,貯水率利水容量,貯水率有効容量
2026-09-15 14:53:32,90013,2026/09/15,14:40,550.19,1,2.74,0.39,47.1,42.4
2026-09-15 15:08:00,90013,2026/09/15,15:00,550.2,1,3.33,0.39,47.1,42.5
2026-09-15 15:25:10,90013,2026/09/15,15:20,550.2,1,3.33,0.39,47.1,42.5
2026-09-15 16:16:28,90013,2026/09/15,16:10,550.21,1,3.33,0.39,47.1,42.5
2026-09-15 16:21:15,90013,2026/09/15,16:10,550.21,1,3.33,0.39,47.1,42.5
2026-09-15 17:21:34,90013,2026/09/15,17:10,550.22,2,3.33,0.39,47.2,42.5
2026-09-15 18:21:23,90013,2026/09/15,18:10,550.22,1,0.39,0.4,47.2,42.5
2026-09-15 19:19:13,90013,2026/09/15,19:10,550.23,1,3.33,0.4,47.2,42.5
2026-09-15 20:18:14,90013,2026/09/15,20:10,550.24,1,3.33,0.39,47.2,42.5
2026-09-15 21:23:14,90013,2026/09/15,21:10,550.25,1,3.33,0.4,47.2,42.6
2026-09-15 22:20:12,90013,2026/09/15,22:10,550.26,1,3.33,0.39,47.2,42.6
