取得日時,ダムコード,日付,時刻,貯水位,区分,全流入量,全放流量,貯水率利水容量,貯水率有効容量
2026-09-26 00:19:53,90013,2026/09/26,00:00,549.26,1,0.39,0.39,45.1,40.7
2026-09-26 01:19:58,90013,2026/09/26,01:00,549.27,1,3.24,0.39,45.1,40.7
2026-09-26 02:17:29,90013,2026/09/26,02:00,549.28,1,3.24,0.39,45.2,40.7
2026-09-26 03:20:28,90013,2026/09/26,03:00,549.29,1,3.24,0.39,45.2,40.7
2026-09-26 04:16:04,90013,2026/09/26,04:00,549.3,2,1.53,0.39,45.2,40.7
2026-09-26 05:17:24,90013,2026/09/26,05:00,549.3,1,2.1,0.39,45.2,40.7
2026-09-26 06:17:57,90013,2026/09/26,06:00,549.31,1,3.24,0.39,45.2,40.8
2026-09-26 07:17:40,90013,2026/09/26,07:00,549.32,1,3.24,0.39,45.2,40.8
2026-09-26 08:16:31,90013,2026/09/26,08:00,549.33,1,3.24,0.39,45.3,40.8
2026-09-26 09:24:00,90013,2026/09/26,09:00,549.34,1,3.24,0.4,45.3,40.8
2026-09-26 10:16:08,90013,2026/09/26,10:00,549.35,1,3.24,0.39,45.3,40.8
2026-09-26 11:17:30,90013,2026/09/26,11:00,549.36,1,3.24,0.39,45.3,40.9
2026-09-26 12:17:50,90013,2026/09/26,12:00,549.37,1,3.24,0.39,45.3,40.9
2026-09-26 13:17:56,90013,2026/09/26,13:00,549.38,1,3.24,0.39,45.4,40.9
2026-09-26 14:17:09,90013,2026/09/26,14:00,549.39,1,3.24,0.39,45.4,40.9
2026-09-26 15:22:40,90013,2026/09/26,15:00,549.4,1,3.24,0.4,45.4,40.9
2026-09-26 16:17:14,90013,2026/09/26,16:00,549.4,1,0.39,0.39,45.4,40.9
2026-09-26 17:19:30,90013,2026/09/26,17:00,549.41,1,3.24,0.39,45.4,41.0
2026-09-26 18:17:40,90013,2026/09/26,18:00,549.42,1,3.24,0.39,45.4,41.0
2026-09-26 19:17:19,90013,2026/09/26,19:00,549.43,1,3.24,0.39,45.5,41.0
2026-09-26 20:16:39,90013,2026/09/26,20:00,549.43,1,0.39,0.4,45.5,41.0
2026-09-26 21:22:00,90013,2026/09/26,21:00,549.44,1,3.24,0.39,45.5,41.0
2026-09-26 22:16:36,90013,2026/09/26,22:00,549.45,1,3.24,0.39,45.5,41.0
