取得日時,ダムコード,日付,時刻,貯水位,区分,全流入量,全放流量,貯水率利水容量,貯水率有効容量
2026-09-22 00:17:14,90013,2026/09/22,00:00,548.8,3,11.2,12.59,44.2,39.8
2026-09-22 01:19:20,90013,2026/09/22,01:00,548.8,1,11.2,12.59,44.2,39.8
2026-09-22 02:15:32,90013,2026/09/22,02:00,548.78,3,8.14,12.6,44.1,39.8
2026-09-22 03:20:45,90013,2026/09/22,03:00,548.77,1,8.7,12.59,44.1,39.8
2026-09-22 04:16:43,90013,2026/09/22,04:00,548.75,1,6.28,0.39,44.0,39.7
2026-09-22 05:17:43,90013,2026/09/22,05:00,548.77,1,5.98,0.39,44.1,39.8
2026-09-22 06:17:35,90013,2026/09/22,06:00,548.79,1,5.95,0.39,44.1,39.8
2026-09-22 07:17:41,90013,2026/09/22,07:00,548.81,2,4.84,0.39,44.2,39.8
2026-09-22 08:16:48,90013,2026/09/22,08:00,548.82,1,4.28,0.39,44.2,39.8
2026-09-22 09:24:21,90013,2026/09/22,09:00,548.84,1,5.95,0.39,44.2,39.9
2026-09-22 10:16:02,90013,2026/09/22,10:00,548.86,2,5.95,0.39,44.3,39.9
2026-09-22 11:18:05,90013,2026/09/22,11:00,548.87,1,3.17,0.39,44.3,39.9
2026-09-22 12:18:23,90013,2026/09/22,12:00,548.89,2,4.84,0.39,44.3,40.0
2026-09-22 13:18:20,90013,2026/09/22,13:00,548.9,1,4.28,0.39,44.4,40.0
2026-09-22 14:17:35,90013,2026/09/22,14:00,548.91,1,3.17,0.39,44.4,40.0
2026-09-22 15:23:13,90013,2026/09/22,15:00,548.93,2,5.12,0.39,44.4,40.0
2026-09-22 16:18:43,90013,2026/09/22,16:00,548.93,1,3.88,12.59,44.4,40.0
