取得日時,ダムコード,日付,時刻,貯水位,区分,全流入量,全放流量,貯水率利水容量,貯水率有効容量
2026-09-21 00:16:47,90013,2026/09/21,00:00,548.9,3,3.99,12.59,44.4,40.0
2026-09-21 01:18:02,90013,2026/09/21,01:00,548.87,3,3.44,12.59,44.3,39.9
2026-09-21 02:15:45,90013,2026/09/21,02:00,548.84,3,2.6,12.7,44.2,39.9
2026-09-21 03:19:20,90013,2026/09/21,03:00,548.81,1,4.27,12.69,44.2,39.8
2026-09-21 04:14:47,90013,2026/09/21,04:00,548.78,1,4.27,12.6,44.1,39.8
2026-09-21 06:16:59,90013,2026/09/21,06:00,548.75,1,0.42,0.39,44.0,39.7
2026-09-21 07:16:28,90013,2026/09/21,07:00,548.75,1,0.39,0.39,44.0,39.7
2026-09-21 08:16:19,90013,2026/09/21,08:00,548.76,1,3.17,0.39,44.1,39.7
2026-09-21 09:25:37,90013,2026/09/21,09:00,548.77,1,3.17,0.39,44.1,39.8
