取得日時,ダムコード,日付,時刻,貯水位,区分,全流入量,全放流量,貯水率利水容量,貯水率有効容量
2026-09-18 00:18:50,90013,2026/09/18,00:00,549.78,1,4.42,0.39,46.2,41.7
2026-09-18 01:19:55,90013,2026/09/18,01:00,549.78,1,0.42,0.39,46.2,41.7
2026-09-18 02:15:57,90013,2026/09/18,02:00,549.79,1,3.24,0.4,46.2,41.7
2026-09-18 03:21:44,90013,2026/09/18,03:00,549.8,2,2.96,0.39,46.2,41.7
2026-09-18 04:16:32,90013,2026/09/18,04:00,549.8,1,0.68,0.39,46.2,41.7
2026-09-18 05:19:08,90013,2026/09/18,05:00,549.81,1,3.24,0.39,46.3,41.7
2026-09-18 06:17:51,90013,2026/09/18,06:00,549.82,1,3.24,0.39,46.3,41.7
2026-09-18 07:17:22,90013,2026/09/18,07:00,549.83,1,3.24,0.39,46.3,41.8
2026-09-18 08:15:06,90013,2026/09/18,08:00,549.84,1,3.24,0.39,46.3,41.8
2026-09-18 09:24:52,90013,2026/09/18,09:00,549.85,1,3.24,0.39,46.4,41.8
2026-09-18 10:17:10,90013,2026/09/18,10:00,549.85,1,0.39,0.39,46.4,41.8
2026-09-18 11:18:16,90013,2026/09/18,11:00,549.86,1,3.24,0.4,46.4,41.8
2026-09-18 12:17:58,90013,2026/09/18,12:00,549.87,1,5.81,12.59,46.4,41.8
2026-09-18 13:18:24,90013,2026/09/18,13:00,549.84,1,4.04,12.59,46.3,41.8
2026-09-18 14:16:47,90013,2026/09/18,14:00,549.81,1,4.04,12.59,46.3,41.7
2026-09-18 15:23:12,90013,2026/09/18,15:00,549.78,1,4.04,12.59,46.2,41.7
2026-09-18 16:18:41,90013,2026/09/18,16:00,549.75,1,4.03,12.59,46.1,41.6
2026-09-18 17:19:21,90013,2026/09/18,17:00,549.71,3,3.45,12.59,46.1,41.5
2026-09-18 18:18:09,90013,2026/09/18,18:00,549.68,3,3.99,12.59,46.0,41.5
2026-09-18 19:18:38,90013,2026/09/18,19:00,549.65,3,3.96,12.5,45.9,41.4
2026-09-18 20:17:32,90013,2026/09/18,20:00,549.62,3,3.1,12.5,45.9,41.4
2026-09-18 21:22:39,90013,2026/09/18,21:00,549.59,3,3.66,12.49,45.8,41.3
