取得日時,ダムコード,日付,時刻,貯水位,区分,全流入量,全放流量,貯水率利水容量,貯水率有効容量
2026-09-20 00:16:42,90013,2026/09/20,00:00,549.21,1,3.94,12.49,45.0,40.6
2026-09-20 01:17:42,90013,2026/09/20,01:00,549.18,1,3.94,12.49,44.9,40.5
2026-09-20 02:15:34,90013,2026/09/20,02:00,549.15,1,3.19,0.39,44.9,40.5
2026-09-20 03:19:35,90013,2026/09/20,03:00,549.15,1,0.41,0.39,44.9,40.5
2026-09-20 04:14:33,90013,2026/09/20,04:00,549.16,2,3.24,0.39,44.9,40.5
2026-09-20 05:17:01,90013,2026/09/20,05:00,549.16,1,0.39,0.39,44.9,40.5
2026-09-20 06:17:09,90013,2026/09/20,06:00,549.17,1,3.24,0.39,44.9,40.5
2026-09-20 07:16:32,90013,2026/09/20,07:00,549.18,1,3.24,0.4,44.9,40.5
2026-09-20 08:15:32,90013,2026/09/20,08:00,549.18,1,0.39,0.39,44.9,40.5
2026-09-20 09:25:58,90013,2026/09/20,09:00,549.19,1,1.82,0.39,45.0,40.5
2026-09-20 10:16:14,90013,2026/09/20,10:00,549.2,1,3.24,0.39,45.0,40.6
2026-09-20 11:17:52,90013,2026/09/20,11:00,549.2,1,0.39,0.39,45.0,40.6
2026-09-20 12:18:23,90013,2026/09/20,12:00,549.21,1,3.24,0.39,45.0,40.6
2026-09-20 13:18:21,90013,2026/09/20,13:00,549.22,1,3.24,0.39,45.0,40.6
2026-09-20 14:16:59,90013,2026/09/20,14:00,549.22,1,1.68,12.69,45.0,40.6
2026-09-20 15:22:15,90013,2026/09/20,15:00,549.19,3,5.83,12.69,45.0,40.5
2026-09-20 16:16:50,90013,2026/09/20,16:00,549.16,3,3.0,12.69,44.9,40.5
2026-09-20 17:18:19,90013,2026/09/20,17:00,549.13,1,3.56,12.69,44.8,40.4
2026-09-20 18:17:39,90013,2026/09/20,18:00,549.1,1,4.13,12.69,44.8,40.4
2026-09-20 19:17:12,90013,2026/09/20,19:00,549.07,1,4.12,12.68,44.7,40.3
2026-09-20 20:16:24,90013,2026/09/20,20:00,549.03,3,2.96,12.59,44.6,40.2
2026-09-20 21:21:44,90013,2026/09/20,21:00,549.0,3,2.93,12.69,44.6,40.2
2026-09-20 22:17:13,90013,2026/09/20,22:00,548.97,1,3.72,12.59,44.5,40.1
2026-09-20 23:16:43,90013,2026/09/20,23:00,548.94,1,4.28,12.59,44.4,40.1
