取得日時,ダムコード,日付,時刻,貯水位,区分,全流入量,全放流量,貯水率利水容量,貯水率有効容量
2026-09-24 00:18:29,90013,2026/09/24,00:00,548.94,2,1.5,0.39,44.4,40.1
2026-09-24 01:19:45,90013,2026/09/24,01:00,548.94,1,2.06,0.39,44.4,40.1
2026-09-24 02:18:03,90013,2026/09/24,02:00,548.95,1,3.17,0.39,44.5,40.1
2026-09-24 03:22:12,90013,2026/09/24,03:00,548.96,1,3.17,0.4,44.5,40.1
2026-09-24 04:17:19,90013,2026/09/24,04:00,548.97,1,3.17,0.4,44.5,40.1
2026-09-24 05:19:28,90013,2026/09/24,05:00,548.98,2,0.67,0.39,44.5,40.1
2026-09-24 06:18:21,90013,2026/09/24,06:00,548.98,1,2.9,0.39,44.5,40.1
2026-09-24 07:17:54,90013,2026/09/24,07:00,548.99,1,3.17,0.4,44.5,40.2
2026-09-24 08:14:58,90013,2026/09/24,08:00,549.0,1,3.17,0.39,44.6,40.2
2026-09-24 09:24:46,90013,2026/09/24,09:00,549.01,1,3.24,0.39,44.6,40.2
2026-09-24 10:17:25,90013,2026/09/24,10:00,549.01,1,1.53,0.39,44.6,40.2
2026-09-24 11:18:04,90013,2026/09/24,11:00,549.02,1,3.24,0.39,44.6,40.2
2026-09-24 12:18:22,90013,2026/09/24,12:00,549.03,1,3.24,0.39,44.6,40.2
2026-09-24 13:18:57,90013,2026/09/24,13:00,549.04,2,2.39,0.39,44.6,40.2
