取得日時,ダムコード,日付,時刻,貯水位,区分,全流入量,全放流量,貯水率利水容量,貯水率有効容量
2026-09-19 00:17:59,90013,2026/09/19,00:00,549.5,3,2.92,0.39,45.6,41.1
2026-09-19 01:17:34,90013,2026/09/19,01:00,549.5,1,0.42,0.39,45.6,41.1
2026-09-19 02:16:02,90013,2026/09/19,02:00,549.51,1,3.24,0.39,45.6,41.1
2026-09-19 03:20:24,90013,2026/09/19,03:00,549.52,1,3.24,0.39,45.7,41.2
2026-09-19 04:16:36,90013,2026/09/19,04:00,549.53,2,2.39,0.39,45.7,41.2
2026-09-19 05:17:56,90013,2026/09/19,05:00,549.53,1,1.25,0.39,45.7,41.2
2026-09-19 06:17:17,90013,2026/09/19,06:00,549.54,1,3.24,0.39,45.7,41.2
2026-09-19 07:17:14,90013,2026/09/19,07:00,549.55,1,3.24,0.39,45.7,41.2
2026-09-19 08:16:44,90013,2026/09/19,08:00,549.55,1,0.39,0.4,45.7,41.2
2026-09-19 09:24:34,90013,2026/09/19,09:00,549.56,1,3.24,0.4,45.7,41.2
2026-09-19 10:15:50,90013,2026/09/19,10:00,549.57,1,3.24,0.39,45.8,41.3
2026-09-19 11:17:34,90013,2026/09/19,11:00,549.58,2,0.68,0.39,45.8,41.3
2026-09-19 12:17:39,90013,2026/09/19,12:00,549.58,1,3.55,11.59,45.8,41.3
2026-09-19 13:18:03,90013,2026/09/19,13:00,549.56,1,6.49,12.59,45.7,41.2
2026-09-19 14:16:22,90013,2026/09/19,14:00,549.52,3,3.19,12.59,45.7,41.2
2026-09-19 15:22:13,90013,2026/09/19,15:00,549.49,3,2.05,12.59,45.6,41.1
2026-09-19 16:16:43,90013,2026/09/19,16:00,549.46,3,4.07,12.7,45.5,41.0
2026-09-19 17:18:38,90013,2026/09/19,17:00,549.43,1,4.14,12.69,45.5,41.0
2026-09-19 18:17:29,90013,2026/09/19,18:00,549.4,1,4.14,12.69,45.4,40.9
2026-09-19 19:17:30,90013,2026/09/19,19:00,549.37,1,4.14,12.69,45.3,40.9
2026-09-19 20:16:24,90013,2026/09/19,20:00,549.33,3,2.42,12.69,45.3,40.8
2026-09-19 21:21:45,90013,2026/09/19,21:00,549.3,3,3.27,12.59,45.2,40.7
